     89 ''	'ed'
     89 'e'	'i'
     90 '6'	'8'
     90 'd'	's'
     90 ''	'left|'
     90 ''	"""'s"""
     90 'w'	'W'
     91 '0'	''
     91 '0'	'2'
     91 '0'	'5'
     91 ''	'E'
     91 ' '	'\n\n'
     94 ';'	','
     96 '3'	'5'
     96 ''	'<br>'
     97 ''	'- '
     97 'i'	'e'
     97 'no'	'yes'
     98 ''	';'
     98 '5'	'7'
     98 'E'	''
     99 'O'	'o'
     99 ''	'p'
     99 ''	'<ref>'
    101 '{{pp-pc1}}\n'	''
    101 'y'	''
    102 '2'	'4'
    102 ''	'English '
    103 '1'	'3'
    103 'h'	'H'
    103 ''	'to '
    104 's'	'c'
    105 'e'	'é'
    106 '/'	''
    106 ''	'1'
    106 'b'	'B'
    107 "'"".'"	"'.""'"
    108 ':'	''
    108 'J'	'j'
    110 'l'	'L'
    111 '_'	' '
    111 'E'	'e'
    111 ''	'in '
    111 's]]'	']]s'
    112 ''	'm'
    113 '9'	'7'
    114 'i'	'o'
    115 'R'	'r'
    116 ''	' American'
    118 'c'	's'
    118 'm'	''
    120 ''	'/'
    121 'j'	'J'
    121 's'	'd'
    122 'righ'	'lef'
    123 'F'	'f'
    124 'wa'	'i'
    125 '7'	'9'
    125 'L'	'l'
    127 ''	'y'
    128 ''	'of '
    129 ''	'* '
    132 ', '	']], [['
    132 'a'	'American a'
    134 'D'	'd'
    134 'i'	'wa'
    137 'B'	'b'
    138 'The '	''
    139 ''	'  '
    139 '|'	''
    141 'c'	''
    143 'm'	'M'
    143 'M'	'm'
    147 '}}'	''
    151 'lef'	'righ'
    153 ''	' -->'
    159 '*'	''
    159 '7'	'6'
    160 ''	'|'
    162 'o'	''
    165 'a '	''
    165 'I'	'i'
    165 'z'	's'
    168 """''"""	"'""'"
    171 ''	'</ref>'
    172 '-'	''
    172 'i'	'I'
    173 ''	'o'
    176 '5'	'4'
    179 'd'	''
    185 ''	'-'
    186 'a'	'A'
    187 's'	'S'
    188 ''	'c'
    190 ','	'.'
    191 '4'	'5'
    195 '1'	'0'
    195 '4'	'3'
    196 '  '	''
    196 ''	'{{pp-pc1}}\n'
    196 't'	'T'
    198 'p'	'P'
    201 ''	'The '
    202 ''	'('
    203 'c'	'C'
    206 '8'	'7'
    207 '.'	','
    209 'i'	''
    211 'r'	''
    212 '('	''
    212 ','	';'
    213 '\n\n'	' '
    214 ''	'a '
    218 ''	'{{cn}}'
    218 'h'	''
    218 't'	''
    219 '7'	'8'
    219 ''	'd'
    220 's'	'z'
    221 'C'	'c'
    230 ''	'and '
    230 'S'	's'
    232 'u'	''
    234 ','	' and'
    234 ''	'u'
    239 '2'	'1'
    241 'T'	't'
    246 'P'	'p'
    250 '6'	'5'
    252 '0'	'1'
    258 '3'	'4'
    261 'A'	'a'
    262 ''	'h'
    262 '\n'	' '
    265 '-'	' '
    266 '3'	'2'
    273 'and '	''
    279 '6'	'7'
    279 'a'	'e'
    282 ''	'}}'
    289 ''	':'
    292 '9'	'8'
    301 '1'	'2'
    303 'a'	''
    310 '='	''
    311 ''	'a'
    316 'l'	''
    317 'e'	'a'
    328 "'""'"	"""''"""
    328 ''	't'
    332 '-'	'–'
    335 '5'	'6'
    341 '2'	'3'
    344 ' and'	','
    347 '['	''
    349 ''	'American '
    353 '8'	'9'
    357 ''	'l'
    359 ''	'{{fact}}'
    385 ''	'i'
    401 'n'	''
    407 '\n\n'	''
    414 "'""'"	''
    421 ''	'r'
    432 ''	'*'
    441 'e'	''
    446 """'''"""	''
    457 ' '	'\n'
    463 """''"""	''
    466 """'"""	''
    487 ''	'\n\n'
    491 ''	"""'"""
    521 ''	'='
    522 ''	'e'
    533 ''	'n'
    551 ')'	''
    578 ']'	''
    580 ''	"'""'"
    587 'the '	''
    589 ' '	'-'
    607 ''	"""'''"""
    624 ''	'the '
    658 ''	'['
    905 ''	')'
    957 ''	']'
   1079 's'	''
   1147 '.'	''
   1511 ''	'.'
   1785 ','	''
   1788 ''	's'
   1933 ''	"""''"""
   2457 '[['	''
   2498 ''	'\n'
   2514 ']]'	''
   2547 '\n'	''
   3079 ''	','
   3170 ' '	''
   5119 ''	' '
   5893 ''	'[['
   6835 ''	']]'
