---Reading xml dump file---
Page 15606. 5950 revisions: 5933 text, 20 None
Page 15607. 5 revisions: 5 text, 0 None
Page 15608. 755 revisions: 754 text, 1 None
Page 15611. 355 revisions: 355 text, 0 None
Page 15612. 726 revisions: 725 text, 1 None
Page 15613. 11468 revisions: 11454 text, 22 None
Page 15614. 1745 revisions: 1739 text, 6 None
Page 15616. 2024 revisions: 2026 text, 0 None
Page 15621. 335 revisions: 335 text, 0 None
Page 15622. 6259 revisions: 6240 text, 19 None
Page 15624. 7506 revisions: 7485 text, 26 None
Page 15626. 2983 revisions: 2988 text, 1 None
Page 15627. 763 revisions: 763 text, 0 None
Page 15628. 538 revisions: 537 text, 1 None
Page 15630. 7173 revisions: 7154 text, 25 None
Page 15632. 263 revisions: 263 text, 0 None
Page 15633. 1303 revisions: 1299 text, 6 None
Page 15636. 5 revisions: 5 text, 0 None
Page 15637. 3 revisions: 3 text, 0 None
Page 15640. 279 revisions: 279 text, 0 None
Page 15641. 18584 revisions: 18543 text, 55 None
Page 15642. 2236 revisions: 2233 text, 3 None
Page 15643. 3 revisions: 3 text, 0 None
Page 15644. 2076 revisions: 2074 text, 2 None
Page 15645. 1600 revisions: 1599 text, 1 None
Page 15646. 3244 revisions: 3236 text, 11 None
Page 15651. 2404 revisions: 2404 text, 2 None
Page 15654. 7615 revisions: 7597 text, 24 None
Page 15655. 2632 revisions: 2621 text, 11 None
Page 15656. 851 revisions: 851 text, 0 None
Page 15657. 973 revisions: 974 text, 0 None
Page 15658. 3060 revisions: 3059 text, 1 None
Page 15659. 119 revisions: 119 text, 0 None
Page 15660. 8917 revisions: 8888 text, 36 None
Page 15661. 1803 revisions: 1797 text, 6 None
Page 15662. 682 revisions: 680 text, 2 None
Page 15663. 384 revisions: 384 text, 0 None
Page 15664. 338 revisions: 338 text, 0 None
Page 15665. 572 revisions: 570 text, 2 None
Page 15666. 73 revisions: 73 text, 0 None
Page 15667. 88 revisions: 87 text, 1 None
Page 15668. 55 revisions: 55 text, 0 None
Page 15669. 154 revisions: 154 text, 0 None
Page 15670. 78 revisions: 72 text, 6 None
Page 15673. 873 revisions: 876 text, 0 None
Page 15674. 4 revisions: 4 text, 0 None
Page 15675. 5 revisions: 5 text, 0 None
Page 15676. 3 revisions: 3 text, 0 None
Page 15677. 4 revisions: 4 text, 0 None
Page 15678. 4 revisions: 4 text, 0 None
Page 15679. 5 revisions: 5 text, 0 None
Page 15680. 3 revisions: 3 text, 0 None
Page 15681. 4 revisions: 4 text, 0 None
Page 15683. 716 revisions: 715 text, 1 None
Page 15684. 3 revisions: 3 text, 0 None
Page 15685. 11 revisions: 11 text, 0 None
Page 15686. 4 revisions: 4 text, 0 None
Page 15687. 4 revisions: 4 text, 0 None
Page 15688. 3 revisions: 3 text, 0 None
Page 15689. 3 revisions: 3 text, 0 None
Page 15690. 3 revisions: 3 text, 0 None
Page 15691. 3 revisions: 3 text, 0 None
Page 15693. 3519 revisions: 3513 text, 8 None
Page 15694. 322 revisions: 322 text, 0 None
Page 15695. 88 revisions: 88 text, 0 None
Page 15696. 85 revisions: 85 text, 0 None
Page 15697. 397 revisions: 398 text, 0 None
Page 15698. 275 revisions: 275 text, 0 None
Page 15699. 104 revisions: 104 text, 0 None
Page 15700. 134 revisions: 134 text, 0 None
Page 15701. 3 revisions: 3 text, 0 None
Page 15703. 241 revisions: 241 text, 0 None
Page 15704. 1226 revisions: 1223 text, 3 None
Page 15705. 3 revisions: 3 text, 0 None
Page 15706. 5 revisions: 5 text, 0 None
Page 15708. 5 revisions: 5 text, 0 None
Page 15709. 3 revisions: 3 text, 0 None
Page 15710. 3 revisions: 3 text, 0 None
Page 15711. 5 revisions: 5 text, 0 None
Page 15712. 4 revisions: 4 text, 0 None
Page 15715. 5 revisions: 5 text, 0 None
Page 15716. 306 revisions: 306 text, 0 None
Page 15717. 543 revisions: 543 text, 0 None
Page 15718. 250 revisions: 250 text, 0 None
Page 15719. 507 revisions: 507 text, 0 None
Page 15720. 161 revisions: 161 text, 0 None
Page 15721. 160 revisions: 160 text, 0 None
Page 15723. 207 revisions: 206 text, 1 None
Page 15724. 184 revisions: 181 text, 3 None
Page 15727. 6 revisions: 6 text, 0 None
Page 15729. 7 revisions: 7 text, 0 None
Page 15730. 6 revisions: 6 text, 0 None
Page 15731. 6 revisions: 6 text, 0 None
Page 15732. 7 revisions: 7 text, 0 None
Page 15733. 7 revisions: 7 text, 0 None
Page 15734. 11 revisions: 11 text, 0 None
Page 15736. 5907 revisions: 5887 text, 22 None
Page 15737. 980 revisions: 980 text, 0 None
Page 15739. 3790 revisions: 3786 text, 4 None
Page 15740. 50 revisions: 50 text, 0 None
Page 15744. 1099 revisions: 1098 text, 1 None
Page 15745. 3731 revisions: 3713 text, 19 None
Page 15746. 164 revisions: 164 text, 0 None
Page 15747. 263 revisions: 263 text, 0 None
Page 15748. 7 revisions: 7 text, 0 None
Page 15753. 9 revisions: 9 text, 0 None
Page 15754. 8 revisions: 8 text, 0 None
Page 15755. 8 revisions: 8 text, 0 None
Page 15758. 9 revisions: 8 text, 1 None
Page 15764. 8 revisions: 8 text, 0 None
Page 15765. 10 revisions: 10 text, 0 None
Page 15766. 7428 revisions: 7427 text, 10 None
Page 15767. 392 revisions: 391 text, 1 None
Page 15768. 78 revisions: 78 text, 0 None
Page 15769. 302 revisions: 301 text, 1 None
Page 15770. 4122 revisions: 4113 text, 13 None
Page 15771. 472 revisions: 472 text, 0 None
Page 15772. 958 revisions: 956 text, 2 None
Page 15773. 36 revisions: 36 text, 0 None
Page 15776. 5 revisions: 5 text, 0 None
Page 15777. 5718 revisions: 5713 text, 9 None
Page 15780. 3128 revisions: 3128 text, 0 None
